"Name","Pos","Age","Team","GP","G","A","PTS","+/-","PIM","PPG","PPP","SOG","PTS/G","NHLe"
"CARTER WILKIE","C","26.2","Calgary Wranglers","27","1","2","3","-7","13","0","0","24","0.11","4"
"CHARLE-EDOUARD D'ASTOUS","D","28.2","Syracuse Crunch","4","1","2","3","3","0","0","2","9","0.75","30"
"CHASE DAFOE","F","24.3","Rockford IceHogs","9","2","1","3","1","4","0","0","4","0.33","13"
"COLE KNUBLE","C","22.0","Lehigh Valley Phantoms","7","1","2","3","0","0","1","1","15","0.43","17"
"DANIEL LAATSCH","D","24.4","Wilkes-Barre/Scranton Penguins","10","0","3","3","1","2","0","0","6","0.30","12"
"DYLAN WENDT","F","25.5","Utica Comets","19","0","3","3","-1","9","0","0","9","0.16","6"
"EASTON COWAN","L","21.1","Toronto Marlies","4","1","2","3","0","2","0","0","6","0.75","30"
"EDDIE GENBORG","F","19.2","Grand Rapids Griffins","11","1","2","3","2","8","0","1","19","0.27","11"
"ELLIS RICKWOOD","F","24.0","Texas Stars","2","2","1","3","3","0","0","0","3","1.50","60"
"EMIL PIENINIEMI","D","21.3","Wilkes-Barre/Scranton Penguins","9","1","2","3","5","4","0","1","6","0.33","13"
"FABIAN WAGNER","L","22.1","Manitoba Moose","29","1","2","3","-9","4","0","0","28","0.10","4"
"GUSTAV STJERNBERG","D","23.7","Colorado Eagles","11","1","2","3","-3","34","0","0","15","0.27","11"
"HARRISON ISRAELS","C","26.8","Rockford IceHogs","31","1","2","3","-8","16","0","0","34","0.10","4"
"JACK ANDERSON","D","23.6","Texas Stars","12","2","1","3","5","9","0","0","12","0.25","10"
"JACK FINLEY","C","23.8","Syracuse Crunch","3","1","2","3","1","0","0","1","2","1.00","40"
"JACOB TRUSCOTT","D","24.2","Grand Rapids Griffins","12","0","3","3","0","4","0","0","6","0.25","10"
"JOE DUNLAP","R","26.6","Laval Rocket","10","2","1","3","3","6","0","0","11","0.30","12"
"JOHN PROKOP","D","25.1","Toronto Marlies","24","1","2","3","-6","8","0","0","20","0.13","5"
"JONATHAN ASPIROT","D","27.1","Providence Bruins","5","1","2","3","2","4","0","0","8","0.60","24"
"JORDAN HARRIS","D","26.0","Providence Bruins","4","1","2","3","6","0","0","0","4","0.75","30"
"JOSH BLOOM","L","23.1","Bakersfield Condors","22","2","1","3","-12","0","0","0","19","0.14","5"
"JUSTIN NACHBAUR","R","26.3","Hershey Bears","31","2","1","3","-10","114","0","0","14","0.10","4"
"KALEB LAWRENCE","C","23.5","Rochester Americans","27","0","3","3","0","54","0","0","25","0.11","4"
"KYLER KUPKA","C","27.1","Hershey Bears","12","1","2","3","-3","0","0","0","8","0.25","10"
"LANDON SIM","F","22.0","Toronto Marlies","13","3","0","3","-1","31","0","0","14","0.23","9"
"LUCAS WAHLIN","F","25.2","Manitoba Moose","6","1","2","3","4","4","0","0","6","0.50","20"
"MASON GEERTSEN","L","31.2","Rochester Americans","35","2","1","3","-7","77","0","0","30","0.09","3"
"MATT COPPONI","C","23.1","Bakersfield Condors","29","2","1","3","-9","15","0","0","34","0.10","4"
"MATT DIMARSICO","L","22.5","Colorado Eagles","7","1","2","3","-2","2","0","0","14","0.43","17"
"MATTHEW STIENBURG","F","25.7","Colorado Eagles","8","2","1","3","-2","11","0","0","12","0.38","15"
"MAX WANNER","D","23.3","Providence Bruins","29","1","2","3","9","11","0","0","26","0.10","4"
"MILO ROELENS","C","23.5","Syracuse Crunch","20","0","3","3","1","15","0","0","5","0.15","6"
"NATHAN BASTIAN","R","28.6","Texas Stars","4","2","1","3","0","2","0","1","10","0.75","30"
"NIKO HUUHTANEN","R","23.0","Syracuse Crunch","5","0","3","3","1","10","0","0","3","0.60","24"
"OLE JULIAN BJøRGVIK-HOLM","D","24.1","Cleveland Monsters","34","0","3","3","-1","10","0","0","27","0.09","4"
"PATRICK THOMAS","L","21.9","Hershey Bears","7","1","2","3","-1","2","0","0","8","0.43","17"
"PHIP WAUGH","D","26.5","Hartford Wolf Pack","15","0","3","3","5","2","0","0","19","0.20","8"
"REILLY WEBB","D","27.2","Hershey Bears","16","0","3","3","5","6","0","0","12","0.19","7"
"RILEY KIDNEY","C","23.3","Belleville Senators","11","0","3","3","4","8","0","0","8","0.27","11"
"RILEY MCKAY","F","27.3","Henderson Silver Knights","28","1","2","3","-10","88","0","0","21","0.11","4"
"ROGER MCQUEEN","C","19.7","San Diego Gulls","7","1","2","3","-2","6","0","0","8","0.43","17"
"ROMAN SCHMIDT","D","23.3","Iowa Wild","48","0","3","3","-14","94","0","0","43","0.06","2"
"RYAN KIRWAN","L","24.3","Toronto Marlies","8","1","2","3","-1","0","0","0","9","0.38","15"
"RYAN O'ROURKE","D","24.1","Belleville Senators","22","0","3","3","0","6","0","0","26","0.14","5"
"TRAVIS DERMOTT","D","29.5","Hartford Wolf Pack","5","0","3","3","-2","2","0","0","4","0.60","24"
"TYSON EMPEY","L","31.0","Manitoba Moose","24","1","2","3","1","69","0","0","10","0.13","5"
"ARTEM GRUSHNIKOV","D","23.3","Calgary Wranglers","55","1","1","2","-1","19","0","0","50","0.04","1"
"ARTUR CHOLACH","D","23.1","Henderson Silver Knights","10","0","2","2","-1","2","0","0","6","0.20","8"
"BRANDON BUHR","F","24.0","Toronto","5","0","2","2","-2","2","0","0","2","0.40","16"
"BRANDON HOLT","D","25.2","Tucson Roadrunners","5","1","1","2","5","0","0","0","11","0.40","16"
"CHARLIE WRIGHT","D","22.7","Coachella Valley Firebirds","46","1","1","2","-1","4","0","0","36","0.04","2"
"CHRIS HARPUR","D","29.8","Syracuse Crunch","18","0","2","2","2","6","0","0","5","0.11","4"
"COLIN RALPH","D","20.7","Springfield Thunderbirds","6","0","2","2","-2","0","0","1","6","0.33","13"
"CONNOR PUNNETT","D","23.0","Texas Stars","18","0","2","2","-1","13","0","0","12","0.11","4"
"COOPER GAY","F","24.3","Colorado Eagles","11","1","1","2","1","6","0","0","14","0.18","7"
"D.J. KING","D","25.9","Hershey Bears","18","0","2","2","3","37","0","0","12","0.11","4"
"DANIEL RUSSELL","F","24.6","Wilkes-Barre/Scranton Penguins","4","0","2","2","0","0","0","0","8","0.50","20"
"DYLAN JAMES","L","22.7","Grand Rapids Griffins","2","2","0","2","1","0","0","0","3","1.00","40"
"EGOR ZAMULA","D","26.2","Wilkes-Barre/Scranton Penguins","3","0","2","2","-3","0","0","2","3","0.67","27"
"ETHAN FRISCH","D","25.7","Manitoba Moose","10","0","2","2","2","0","0","0","14","0.20","8"
"ETHEN FRANK","R","28.4","Hershey Bears","3","2","0","2","0","0","0","0","5","0.67","27"
"FELIX TRUDEAU","F","23.8","Springfield Thunderbirds","8","1","1","2","-1","2","0","1","10","0.25","10"
"GUILLAUME BRISEBOIS","D","28.9","Abbotsford Canucks","9","1","1","2","4","2","0","0","12","0.22","9"
"HANK KEMPF","D","24.2","Colorado Eagles","7","0","2","2","0","2","0","0","7","0.29","11"
"JACKSON KUNZ","C","23.9","Abbotsford Canucks","22","0","2","2","-8","0","0","1","18","0.09","4"
"JAKE BOLTMANN","D","24.7","San Jose Barracuda","14","0","2","2","-2","2","0","0","7","0.14","6"
"JAKE FURLONG","D","23.2","San Jose Barracuda","12","0","2","2","-6","20","0","0","12","0.17","7"
"JAROD CRESPO","D","24.2","San Jose Barracuda","2","1","1","2","3","0","0","0","2","1.00","40"
"JESSE KIISKINEN","R","20.9","Grand Rapids Griffins","3","1","1","2","1","2","0","0","2","0.67","27"
"JESSE PULKKINEN","D","21.5","Bridgeport Islanders","20","0","2","2","-8","6","0","1","11","0.10","4"
"JIRI FELCMAN","F","21.2","Rockford IceHogs","7","0","2","2","-2","0","0","0","3","0.29","11"
"JUSTIN JANICKE","F","22.0","Coachella Valley Firebirds","11","0","2","2","-1","4","0","0","11","0.18","7"
"KADEN BOHLSEN","F","25.5","Hershey Bears","5","2","0","2","0","0","0","0","6","0.40","16"
"KEVIN CONLEY","C","29.4","Manitoba Moose","5","2","0","2","1","2","0","0","7","0.40","16"
"KYLE JACKSON","F","23.7","Hartford Wolf Pack","12","1","1","2","-6","0","0","0","5","0.17","7"
"LOGAN MAILLOUX","D","23.2","Springfield Thunderbirds","5","2","0","2","-2","2","1","1","5","0.40","16"
"LUKE KUNIN","C","28.6","Charlotte Checkers","1","0","2","2","1","0","0","0","1","2.00","80"
"MATHIEU DE ST. PHALLE","R","26.3","Wilkes-Barre/Scranton Penguins","11","2","0","2","-4","6","0","0","11","0.18","7"
"MATT BASGALL","D","23.9","San Diego Gulls","4","1","1","2","6","0","0","0","7","0.50","20"
"MAX DORRINGTON","F","24.8","Bridgeport Islanders","2","1","1","2","1","0","0","0","1","1.00","40"
"MAX GRONDIN","C","26.0","Syracuse Crunch","8","1","1","2","-3","28","0","0","16","0.25","10"
"MAX SASSON","C","25.8","Abbotsford Canucks","2","2","0","2","2","0","0","0","9","1.00","40"
"MICHAEL KOSTER","D","25.2","Iowa Wild","13","0","2","2","1","0","0","0","10","0.15","6"
"MIKHAIL ILYIN","F","21.4","Wilkes-Barre/Scranton Penguins","5","0","2","2","2","2","0","0","4","0.40","16"
"NAVRIN MUTTER","L","25.3","Providence Bruins","39","1","1","2","-11","95","0","0","15","0.05","2"
"NICKY LEIVERMANN","D","27.8","Hershey Bears","3","0","2","2","1","0","0","2","3","0.67","27"
"NOAH BECK","D","25.3","San Jose Barracuda","13","0","2","2","2","12","0","0","11","0.15","6"
"NOLAN MOYLE","R","27.2","Grand Rapids Griffins","16","1","1","2","5","15","0","0","16","0.13","5"
"PAUL LUDWINSKI","F","22.2","Rockford IceHogs","3","1","1","2","-2","2","0","0","1","0.67","27"
"REILLY CONNORS","C","26.3","Colorado Eagles","8","2","0","2","0","11","0","0","7","0.25","10"
"RILEY PATTERSON","C","20.3","Abbotsford Canucks","4","1","1","2","-1","4","0","1","8","0.50","20"
"ROBBY FABBRI","C","30.4","Charlotte Checkers","3","1","1","2","-4","0","0","0","6","0.67","27"
"RYLAND MOSLEY","L","26.4","Rockford IceHogs","13","1","1","2","-2","4","0","0","16","0.15","6"
"SCOOTER BRICKEY","D","27.1","Wilkes-Barre/Scranton Penguins","18","0","2","2","3","16","0","0","20","0.11","4"
"SHELDON REMPAL","R","30.9","Hershey Bears","4","1","1","2","-2","2","0","0","9","0.50","20"
"SIMON MACK","D","25.3","Calgary Wranglers","26","0","2","2","-5","2","0","0","15","0.08","3"
"T.J. HUGHES","C","24.6","Colorado Eagles","2","1","1","2","-2","0","0","1","8","1.00","40"
"TOM WILLANDER","D","21.4","Abbotsford Canucks","5","1","1","2","-5","0","1","1","6","0.40","16"
"TOMMY LAFRENIERE","R","19.5","Bakersfield Condors","5","1","1","2","0","0","0","0","8","0.40","16"
"TYLER INAMOTO","D","27.2","Bakersfield Condors","9","0","2","2","1","6","0","0","5","0.22","9"
"VIGGO GUSTAFSSON","D","19.8","Milwaukee Admirals","6","1","1","2","3","6","0","0","8","0.33","13"
"VINZENZ ROHRER","F","21.8","Laval Rocket","1","1","1","2","1","0","0","0","2","2.00","80"
"WILLIAM DUFOUR","L","24.4","Grand Rapids Griffins","11","2","0","2","-3","4","1","1","16","0.18","7"
"YAN KUZNETSOV","D","24.3","Calgary Wranglers","10","2","0","2","5","2","0","0","8","0.20","8"
"YANICK TURCOTTE","L","30.0","Chicago Wolves","38","0","2","2","-7","130","0","0","15","0.05","2"
"ZAC FUNK","L","22.9","Hershey Bears","10","0","2","2","-2","8","0","0","9","0.20","8"
"ZACK HAYES","D","27.2","Milwaukee Admirals","36","1","1","2","-16","20","0","0","23","0.06","2"
"AIDAN HRESCHUK","D","23.4","Texas Stars","3","0","1","1","-1","0","0","0","0","0.33","13"
"AIDEN HANSEN-BUKATA","D","27.0","Colorado Eagles","4","0","1","1","0","2","0","0","1","0.25","10"
"ALFONS FREIJ","D","20.4","Manitoba Moose","5","0","1","1","-5","2","0","0","4","0.20","8"
"ANDREJ SUSTR","D","35.6","Bridgeport Islanders","11","0","1","1","-6","21","0","0","8","0.09","4"
"AUSTIN BRIMMER","R","24.9","Abbotsford Canucks","13","0","1","1","-2","13","0","0","13","0.08","3"
"BLAKE MONTGOMERY","L","21.2","Belleville Senators","3","1","0","1","-2","6","0","0","7","0.33","13"
"BRADEN BIRNIE","L","24.7","Abbotsford Canucks","5","0","1","1","0","0","0","0","3","0.20","8"
"BRENDAN SMITH","D","37.4","Cleveland Monsters","11","0","1","1","-5","8","0","0","15","0.09","4"
"CAMERON BUTLER","R","24.1","Iowa Wild","16","1","0","1","-3","20","0","0","13","0.06","2"
"CARSON GOLDER","R","23.7","Lehigh Valley Phantoms","9","0","1","1","-2","4","0","0","11","0.11","4"
"CASE MCCARTHY","D","25.5","Hartford Wolf Pack","9","0","1","1","4","0","0","0","4","0.11","4"
"CHARLIE ELICK","D","20.4","Cleveland Monsters","2","0","1","1","0","0","0","0","1","0.50","20"
"CHASE WHEATCROFT","F","24.1","Texas Stars","8","0","1","1","1","4","0","0","6","0.13","5"
"CHRIS ORTIZ","D","25.4","Hartford Wolf Pack","24","0","1","1","0","6","0","0","12","0.04","2"
"CHRISTOPHER BROWN","R","30.4","Providence Bruins","8","0","1","1","-2","2","0","0","5","0.13","5"
"CHRISTOPHER DOUGLAS","R","26.0","Rochester Americans","11","1","0","1","-5","9","0","0","8","0.09","4"
"CONNOR MAYER","D","27.0","Hershey Bears","1","1","0","1","1","0","0","0","3","1.00","40"
"DAVID KAMPF","F","31.5","Toronto Marlies","4","0","1","1","-1","0","0","0","4","0.25","10"
"DAVID LEWANDOWSKI","F","19.4","Bakersfield Condors","1","0","1","1","1","0","0","0","1","1.00","40"
"DAWSON BARTEAUX","D","26.5","Manitoba Moose","32","1","0","1","-7","24","0","0","27","0.03","1"
"DEREK DASCHKE","D","28.5","Abbotsford Canucks","13","0","1","1","-2","0","0","0","4","0.08","3"
"DREW CALLIN","F","31.2","Providence Bruins","4","0","1","1","-3","2","0","0","6","0.25","10"
"DREW ELLIOTT","L","23.2","San Diego Gulls","6","1","0","1","-1","7","0","0","11","0.17","7"
"DYLAN MOULTON","D","25.2","Manitoba","3","1","0","1","0","0","0","0","3","0.33","13"
"FILIP HALLANDER","L","26.1","Wilkes-Barre/Scranton Penguins","3","1","0","1","1","2","0","0","7","0.33","13"
"HOYT STANLEY","D","21.4","Belleville Senators","6","1","0","1","-1","0","0","0","3","0.17","7"
"ISAK WALTHER","R","24.9","Milwaukee Admirals","4","0","1","1","-1","0","0","0","5","0.25","10"
"ISRAEL MIANSCUM","L","23.2","Laval Rocket","3","0","1","1","0","5","0","0","0","0.33","13"
"JACK BERGLUND","C","20.2","Lehigh Valley Phantoms","5","1","0","1","0","13","0","0","9","0.20","8"
"JACKSON BEREZOWSKI","C","24.4","Coachella Valley Firebirds","9","0","1","1","0","2","0","0","4","0.11","4"
"JACKSON JUTTING","F","25.3","Grand Rapids","5","0","1","1","-1","2","0","0","3","0.20","8"
"JAKE CHIASSON","R","23.1","Belleville Senators","19","0","1","1","0","4","0","0","12","0.05","2"
"JAKUB DEMEK","F","23.1","Henderson Silver Knights","4","0","1","1","-4","0","0","1","9","0.25","10"
"JAYDEN GRUBBE","C","23.5","Abbotsford Canucks","2","1","0","1","-2","2","0","0","4","0.50","20"
"JORDAN GUSTAFSON","F","22.4","Henderson Silver Knights","6","0","1","1","-4","0","0","0","4","0.17","7"
"JOSH DAVIES","L","22.3","Milwaukee Admirals","15","1","0","1","-6","30","0","0","11","0.07","3"
"JOSH DUNNE","C","27.6","Rochester Americans","2","1","0","1","1","4","0","0","9","0.50","20"
"JOSH LOPINA","C","25.4","Rockford IceHogs","16","1","0","1","-2","8","0","0","16","0.06","2"
"JOSH NADEAU","F","22.7","Laval Rocket","2","0","1","1","0","0","0","0","5","0.50","20"
"KALEB PEARSON","F","26.0","Texas","5","1","0","1","-3","0","0","0","2","0.20","8"
"KEATON MASTRODONATO","F","27.4","Ontario Reign","4","0","1","1","-3","0","0","0","5","0.25","10"
"KONNOR SMITH","D","21.6","San Diego Gulls","13","0","1","1","-7","20","0","0","9","0.08","3"
"LIAM VALENTE","C","23.1","Rochester Americans","2","1","0","1","-1","0","0","0","1","0.50","20"
"LUDWIG PERSSON","R","22.7","Hershey Bears","7","0","1","1","-1","2","0","0","8","0.14","6"
"LUKAS GUSTAFSSON","D","23.5","Manitoba Moose","5","0","1","1","-2","2","0","0","3","0.20","8"
"MARCEL MARCEL","F","22.7","Rockford IceHogs","13","1","0","1","-7","7","0","0","12","0.08","3"
"MATHIEU JOSEPH","F","29.4","Springfield Thunderbirds","2","1","0","1","-1","0","1","1","4","0.50","20"
"MATTHEW BROWN","F","26.9","Bakersfield Condors","17","0","1","1","2","2","0","0","10","0.06","2"
"MATTHEW SAVOIE","R","22.5","Bakersfield Condors","1","0","1","1","-1","0","0","0","3","1.00","40"
"MAX PSENICKA","D","19.4","Tucson Roadrunners","2","0","1","1","1","10","0","0","5","0.50","20"
"MAXIM STRBAK","D","21.2","Rochester Americans","2","0","1","1","-2","0","0","0","1","0.50","20"
"MICHAEL MISA","F","19.4","San Jose Barracuda","2","0","1","1","0","0","0","0","2","0.50","20"
"MILAN LUCIC","L","38.1","Springfield Thunderbirds","5","0","1","1","-7","4","0","1","1","0.20","8"
"MIROSLAV HOLINKA","C","20.6","Toronto Marlies","1","0","1","1","1","0","0","0","0","1.00","40"
"NEIL SHEA","F","26.9","Colorado Eagles","1","0","1","1","-1","0","0","0","1","1.00","40"
"NICK LEDDY","D","35.3","San Jose","1","0","1","1","1","0","0","0","1","1.00","40"
"NOAH STEEN","L","21.9","Syracuse Crunch","5","1","0","1","0","5","0","0","4","0.20","8"
"PETER TISCHKE","D","30.5","Rochester Americans","4","0","1","1","2","0","0","0","1","0.25","10"
"RADIM MRTKA","D","19.1","Rochester Americans","8","0","1","1","-3","7","0","0","9","0.13","5"
"REECE VITELLI","R","25.0","Manitoba Moose","12","0","1","1","3","5","0","0","11","0.08","3"
"RHETT PARSONS","D","22.7","Toronto Marlies","8","0","1","1","-5","47","0","0","2","0.13","5"
"ROBBY DRAZNER","D","26.4","Abbotsford Canucks","2","0","1","1","-1","6","0","0","2","0.50","20"
"RYAN CHYZOWSKI","C","26.1","Calgary Wranglers","3","1","0","1","-1","0","0","0","7","0.33","13"
"RYAN HOFER","R","24.1","Hershey Bears","11","0","1","1","-1","2","0","0","2","0.09","4"
"SAIGE WEINSTEIN","D","21.1","Colorado Eagles","3","1","0","1","0","2","0","0","2","0.33","13"
"SAMUEL LABERGE","F","29.2","San Jose Barracuda","9","0","1","1","0","27","0","0","13","0.11","4"
"SAWYER BOULTON","F","22.0","Lehigh Valley Phantoms","16","0","1","1","-1","40","0","0","1","0.06","2"
"SIMON PINARD","F","25.1","Hershey Bears","3","0","1","1","2","0","0","0","4","0.33","13"
"TRAVIS HOWE","R","32.4","San Diego Gulls","21","0","1","1","-1","78","0","0","6","0.05","2"
"TYLER MOTTE","L","31.3","Charlotte Checkers","4","1","0","1","-2","2","1","1","11","0.25","10"
"TYSON FEIST","D","25.5","Bakersfield Condors","13","0","1","1","5","35","0","0","9","0.08","3"
"VIKING GUSTAFSSON NYBERG","D","22.8","Iowa Wild","2","0","1","1","1","2","0","1","3","0.50","20"
"VINNY BORGESI","D","22.3","Toronto Marlies","7","0","1","1","-3","6","0","1","8","0.14","6"
"WILLIAM NICHOLL","C","20.1","Bakersfield Condors","5","1","0","1","-1","8","0","0","7","0.20","8"
"WYATTE WYLIE","D","26.7","Laval Rocket","8","0","1","1","-3","8","0","0","11","0.13","5"
"ZACH URDAHL","F","24.7","Wilkes-Barre/Scranton Penguins","12","0","1","1","2","2","0","0","7","0.08","3"
"ZAKHAR BARDAKOV","L","25.3","Colorado Eagles","1","1","0","1","1","0","0","0","3","1.00","40"
"AIDEN DUBINSKY","D","22.2","Laval Rocket","1","0","0","0","0","2","0","0","3","0.00","0"
"ALEX GAFFNEY","L","24.0","Hershey Bears","2","0","0","0","-2","0","0","0","1","0.00","0"
"ANDRE ANANIA","D","23.3","Milwaukee Admirals","1","0","0","0","1","0","0","0","1","0.00","0"
"ANDREW MANGIAPANE","R","30.2","Bakersfield Condors","1","0","0","0","0","0","0","0","0","0.00","0"
"ANTHONY KEHRER","D","24.3","Springfield Thunderbirds","7","0","0","0","-3","0","0","0","5","0.00","0"
"ANTHONY ROMANO","F","25.7","Springfield Thunderbirds","2","0","0","0","0","4","0","0","0","0.00","0"
"ANTON LUNDMARK","F","25.2","Charlotte Checkers","9","0","0","0","-2","4","0","0","9","0.00","0"
"ANTONIO VENUTO","R","26.3","","1","0","0","0","0","0","0","0","3","0.00","0"
"ARTEM GURYEV","D","23.1","Lehigh Valley Phantoms","6","0","0","0","-1","4","0","0","5","0.00","0"
"BEN DEXHEIMER","D","24.0","Iowa Wild","2","0","0","0","-3","0","0","0","4","0.00","0"
"BEN MEEHAN","D","25.2","Lehigh Valley Phantoms","5","0","0","0","-2","0","0","0","3","0.00","0"
"BEN STRINDEN","R","24.1","Milwaukee Admirals","3","0","0","0","-1","0","0","0","1","0.00","0"
"BEN ZLOTY","D","24.3","Manitoba Moose","2","0","0","0","0","0","0","0","0","0.00","0"
"BRADEN DOYLE","D","24.8","Chicago Wolves","10","0","0","0","0","19","0","0","3","0.00","0"
"BRAIDAN SIMMONS-FISCHER","D","24.4","Iowa","6","0","0","0","0","5","0","0","2","0.00","0"
"BRANDON HAWKINS","R","32.2","Grand Rapids Griffins","3","0","0","0","-1","0","0","0","4","0.00","0"
"BRAYDEN EDWARDS","F","21.5","Wilkes-Barre/Scranton Penguins","3","0","0","0","-1","0","0","0","0","0.00","0"
"BRENDAN GORMAN","F","23.4","Ontario Reign","2","0","0","0","-1","0","0","0","2","0.00","0"
"BRENT JOHNSON","D","23.3","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","0","0","0","1","0.00","0"
"BROOKLYN KALMIKOV","L","25.2","Providence Bruins","5","0","0","0","-5","2","0","0","3","0.00","0"
"BROTEN SABO","D","23.9","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","0","0","0","1","0.00","0"
"CAIGE STERZER","F","25.9","Hartford Wolf Pack","5","0","0","0","1","4","0","0","1","0.00","0"
"CALEB JONES","D","29.1","Wilkes-Barre/Scranton Penguins","1","0","0","0","0","0","0","0","1","0.00","0"
"CHAD NYCHUK","D","25.3","Milwaukee Admirals","1","0","0","0","0","0","0","0","2","0.00","0"
"CHASE PAULS","D","22.7","Calgary Wranglers","3","0","0","0","-2","0","0","0","1","0.00","0"
"CHONGMIN LEE","F","27.1","Cleveland Monsters","6","0","0","0","1","2","0","0","3","0.00","0"
"CHRIS HEDDEN","D","23.8","Colorado","1","0","0","0","-1","0","0","0","0","0.00","0"
"CHRISTIAN FELTON","D","26.4","Abbotsford Canucks","14","0","0","0","-3","0","0","0","10","0.00","0"
"CHRISTIAN FITZGERALD","F","24.1","Texas Stars","2","0","0","0","2","0","0","0","5","0.00","0"
"COLE KRYGIER","D","26.2","Charlotte Checkers","2","0","0","0","0","0","0","0","2","0.00","0"
"COLIN SWOYER","D","28.2","Cleveland Monsters","4","0","0","0","0","2","0","0","0","0.00","0"
"CURTIS DOUGLAS","C","26.3","Syracuse Crunch","6","0","0","0","0","0","0","0","6","0.00","0"
"DANIIL PROKHOROV","F","19.2","Bridgeport Islanders","1","0","0","0","0","0","0","0","0","0.00","0"
"DANNY KATIC","L","25.9","Belleville Senators","4","0","0","0","-1","2","0","0","3","0.00","0"
"DARICK LOUIS-JEAN","D","25.6","Laval Rocket","4","0","0","0","-1","2","0","0","4","0.00","0"
"DAVIS BURNSIDE","F","22.8","Manitoba Moose","2","0","0","0","0","0","0","0","0","0.00","0"
"DENI GOURE","C","23.0","Chicago Wolves","2","0","0","0","-2","0","0","0","1","0.00","0"
"DENNIS CESANA","D","28.2","Charlotte Checkers","2","0","0","0","2","0","0","0","1","0.00","0"
"DILLAN BENTLEY","F","25.2","Laval Rocket","6","0","0","0","0","6","0","0","14","0.00","0"
"DRAKE BURGIN","D","25.7","Coachella Valley","1","0","0","0","-1","0","0","0","0","0.00","0"
"DYLLAN GILL","D","22.1","Syracuse Crunch","3","0","0","0","-2","0","0","0","3","0.00","0"
"ELIAS PETTERSSON","D","22.4","Abbotsford Canucks","3","0","0","0","-1","2","0","0","3","0.00","0"
"EMIL HEMMING","F","20.0","Texas Stars","5","0","0","0","-1","0","0","0","8","0.00","0"
"ERIK BARGHOLTZ","F","25.2","San Jose Barracuda","2","0","0","0","0","0","0","0","1","0.00","0"
"ETHAN CZATA","C","19.1","Syracuse Crunch","3","0","0","0","-2","17","0","0","1","0.00","0"
"ETHAN LEYH","L","24.8","Chicago Wolves","2","0","0","0","0","0","0","0","4","0.00","0"
"FRANK DJURASEVIC","D","24.3","Toronto Marlies","2","0","0","0","-3","0","0","0","3","0.00","0"
"GARRETT PYKE","D","26.9","Hershey Bears","1","0","0","0","0","0","0","0","0","0.00","0"
"GAVIN HAIN","C","23.2","Hartford Wolf Pack","6","0","0","0","-3","2","0","0","2","0.00","0"
"GAVIN MCCARTHY","D","21.1","Rochester","5","0","0","0","0","4","0","0","3","0.00","0"
"HAYES HUNDLEY","D","21.3","Toronto Marlies","1","0","0","0","-1","0","0","0","1","0.00","0"
"HENRY BRZUSTEWICZ","D","19.4","Ontario Reign","5","0","0","0","1","8","0","0","6","0.00","0"
"HERMAN TRAFF","R","20.5","San Diego Gulls","3","0","0","0","-1","0","0","0","2","0.00","0"
"HUNTER JOHANNES","L","27.9","Lehigh Valley Phantoms","2","0","0","0","2","0","0","0","1","0.00","0"
"IAN MOORE","D","24.5","San Diego Gulls","4","0","0","0","0","0","0","0","4","0.00","0"
"ILYA SOLOVYOV","D","25.9","Colorado Eagles","3","0","0","0","1","0","0","0","4","0.00","0"
"JACK BAR","D","16.0","San Jose Barracuda","5","0","0","0","0","0","0","0","4","0.00","0"
"JACOB DION","D","24.7","Laval Rocket","5","0","0","0","-2","2","0","0","8","0.00","0"
"JACOB HUDSON","F","25.6","Providence Bruins","3","0","0","0","-2","5","0","0","4","0.00","0"
"JAKE MURRAY","D","24.2","Rockford IceHogs","2","0","0","0","0","2","0","0","3","0.00","0"
"JAMES STEFAN","R","22.8","Bakersfield Condors","6","0","0","0","0","0","0","0","2","0.00","0"
"JAYDEN LEE","D","25.5","Abbotsford Canucks","3","0","0","0","-2","0","0","0","3","0.00","0"
"JETT JONES","F","23.8","Springfield Thunderbirds","11","0","0","0","-6","4","0","0","4","0.00","0"
"JOHN GORMLEY","D","25.9","San Jose Barracuda","5","0","0","0","0","7","0","0","3","0.00","0"
"JOSH EERNISSE","R","24.5","Cleveland Monsters","1","0","0","0","0","0","0","0","0","0.00","0"
"KALE KESSY","L","33.6","Springfield Thunderbirds","41","0","0","0","-10","67","0","0","22","0.00","0"
"KENT ANDERSON","D","22.7","Calgary Wranglers","2","0","0","0","2","0","0","0","4","0.00","0"
"KEVIN WALL","R","26.4","Springfield Thunderbirds","6","0","0","0","-1","2","0","0","2","0.00","0"
"KIENAN DRAPER","R","24.4","Grand Rapids Griffins","2","0","0","0","-1","0","0","0","1","0.00","0"
"KYLE WALKER","D","26.0","Calgary Wranglers","3","0","0","0","-1","0","0","0","0","0.00","0"
"LACHLAN GETZ","D","24.4","Springfield","1","0","0","0","0","0","0","0","1","0.00","0"
"LANDON MCCALLUM","F","22.8","Coachella Valley Firebirds","3","0","0","0","-2","4","0","0","0","0.00","0"
"LOKE JOHANSSON","D","20.5","Providence Bruins","13","0","0","0","2","6","0","0","11","0.00","0"
"LUCAS PETTERSSON","C","20.2","San Diego Gulls","4","0","0","0","-2","0","0","0","4","0.00","0"
